test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
2589794580,91484531,"samsung/kltezt/klte:4.4.2/KOT49H/G900IZTU1ANCB:user/release-keys","2017-02-01 00:00:00","114.120.235.xxx",16932,12274,32,"Tangerang","Indonesia","ID",-6.1783,106.6319,"PT Telekomunikasi Selular Indonesia","Indonesia","ID","West Kalimantan","KB","Singkawang",0.89798,108.97029,515.417,"Telkomsel",1,"TELKOMSEL","","",15,15,"samsung","klte","qcom","KOT49H","samsung","SM-G900I","kltezt","","71577877",1,"Singkawang, Singkawang City, West Kalimantan, Indonesia","Singkawang","locality","Indonesia","ID","West Kalimantan","Singkawang City","","79123"
2589794591,148911130,"LYF/LS5505/LS-5505:6.0.1/LYF_LS-5505_01_05/build10061237:userdebug/test-keys","2017-02-01 00:00:00","49.44.51.xxx",84903,8809,38,"Bhuj","India","IN",23.2420,69.6669,"Kutch Telelink Pvt. Ltd.","India","IN","Maharashtra","MH","Mumbai",19.13045,72.86521,351.291,"Reliance Jio Infocomm Ltd",1,"Jio 4G","405","874",15,15,"LYF","LS-5505","qcom","LYF_LS-5505_01_05","LYF","LS-5505","LS5505","","100715265",1,"Mumbai, Maharashtra, India","Mumbai","locality","India","IN","Maharashtra","Mumbai","","400093"
2589794593,128148339,"samsung/nobleltejv/noblelte:6.0.1/MMB29K/N920CXXS3BQA9:user/release-keys","2017-02-01 00:00:00","5.208.218.xxx",14619,10006,32,"Hamedan","Iran","IR",34.8000,48.5167,"ATINET","Iran","IR","Kermanshah","17","Kermanshah",34.34053,47.07699,87.9442,"Notrino",0,"IR-MCI","432","11",0,0,"samsung","noblelte","samsungexynos7420","MMB29K","samsung","SM-N920C","nobleltejv","","213321734",1,"Kermanshah, Kermanshah, Iran","Kermanshah","locality","Iran","IR","Kermanshah","","",""
2589794601,152012789,"Xiaomi/land/land:6.0.1/MMB29M/V8.1.1.0.MALMIDI:user/release-keys","2017-02-01 00:00:01","49.34.214.xxx",2618,3567,46,"Rajkot","India","IN",22.3000,70.7833,"Ishan Netsol Pvt Ltd","India","IN","Gujarat","GJ","Rajkot",22.29910,70.76129,1.40951,"Reliance Jio Infocomm Ltd",1,"Jio 4G","405","857",15,15,"Xiaomi","land","qcom","MMB29M","Xiaomi","Redmi 3S","land","","290098",1,"Rajkot, Gujarat, India","Rajkot","locality","India","IN","Gujarat","Rajkot","","360005"
2589794605,123241048,"samsung/fortunave3gxx/fortunave3g:4.4.4/KTU84P/G530HDCU1AOF1:user/release-keys","2017-02-01 00:00:01","202.67.41.xxx",1119,1038,50,"Jakarta","Indonesia","ID",-6.1745,106.8227,"BoltSuper4G","Indonesia","ID","East Java","JI","Jember",-8.17829,113.69564,491.591,"Three Indonesia",1,"3","","",17,17,"samsung","fortunave3g","qcom","KTU84P","samsung","SM-G530H","fortunave3gxx","","88243068",1,"Jember, Jember Regency, East Java, Indonesia","Jember","locality","Indonesia","ID","East Java","Jember Regency","","68131"
2589794608,148910078,"LYF/LS5505/LS-5505:6.0.1/LYF_LS-5505_01_05/build10061237:userdebug/test-keys","2017-02-01 00:00:01","49.44.51.xxx",77732,7372,23,"Navi Mumbai","India","IN",19.0330,73.0297,"Jio","India","IN","Maharashtra","MH","Mumbai",19.03674,72.94509,5.5379,"Reliance Jio Infocomm Ltd",1,"Jio 4G","405","874",15,15,"LYF","LS-5505","qcom","LYF_LS-5505_01_05","LYF","LS-5505","LS5505","","100707073",1,"Mumbai, Maharashtra, India","Mumbai","locality","India","IN","Maharashtra","Mumbai","","400088"
2589794609,0,"Haier/A16C3H/unknown:6.0.1/MOB31F/SRS:userdebug/test-keys","2017-02-01 00:00:01","128.199.85.xxx",28392,2933,53,"Singapore","Republic of Singapore","SG",1.3000,103.8000,"Vodien Internet Solutions Pte Ltd","Singapore","SG","Central Singapore Community Development Council","01","Singapore",1.28550,103.85650,4.03352,"DigitalOcean",0,"AXIS","510","11",0,0,"","","","","","","","","8701924",2,"Singapore, Singapore","Singapore","locality","Singapore","SG","","","",""
2589794610,151945159,"OPPO/A1601/A1601:5.1/LMY47I/1479785624:user/release-keys","2017-02-01 00:00:01","120.188.75.xxx",735,412,60,"Jogjakarta","Indonesia","ID",-7.7956,110.3695,"Jogjamedianet","Indonesia","ID","Central Java","JT","Kartasura",-7.54475,110.72657,30.0075,"PT Indosat Tbk.",1,"Indosat Ooredoo","510","1",15,15,"OPPO","A1601","mt6755","LMY47I","OPPO","A1601","A1601","","8464898",1,"Wirogunan, Kartasura, Sukoharjo Regency, Central Java, Indonesia","Wirogunan","administrative_area_level_4","Indonesia","ID","Central Java","Sukoharjo Regency","Kartasura, Wirogunan","57166"
2589794613,147373402,"motorola/lux_retasia_ds/lux_uds:6.0.1/MPD24.107-70-1/2:user/release-keys","2017-02-01 00:00:01","157.50.105.xxx",110,129,45,"Chennai","India","IN",13.0827,80.2707,"Ficus Telecom Pvt Ltd","India","IN","Tamil Nadu","TN","Chennai",13.08330,80.28330,0.85019,"Jio",1,"Vodafone IN","405","869",0,0,"motorola","lux_uds","qcom","MPD24.107-70-1","motorola","XT1562","lux_retasia_ds","","1243441",2,"Chennai, Tamil Nadu, India","Chennai","locality","India","IN","Tamil Nadu","Tiruvallur","","600009"
2589794621,152541632,"Letv/Le1s_IN/X3_HK:6.0/DHXOSOP5801708261S/1472150001:user/release-keys","2017-02-01 00:00:01","169.149.140.xxx",37080,5652,28,"Ludhiana","India","IN",30.9010,75.8573,"Jio","India","IN","Punjab","PB","Patiala",30.34167,76.39115,50.0625,"Jio",1,"Idea","405","867",0,0,"Letv","X3_HK","mt6795","DHXOSOP5801911241S","Letv","Le X509","Le1s_IN","","1160466",1,"Patiala, Punjab 147001, India","Patiala","locality","India","IN","Punjab","Patiala","","147001"
2589794625,125153447,"oneplus/bacon/A0001:6.0.1/MHC19Q/ZNH2KAS3P0:user/release-keys","2017-02-01 00:00:01","143.179.12.xxx",9073,2465,29,"Amsterdam","Netherlands","NL",52.3667,4.9000,"KPN","Netherlands","NL","UNKNOWN","??","UNKNOWN",52.38240,4.89950,1.08627,"Tele2 Nederland B.V.",1,"Tele2 NL","204","16",17,17,"oneplus","A0001","bacon","MHC19Q","OnePlus","A0001","bacon","","14149878",2,"Netherlands","Netherlands","country","Netherlands","NL","","","",""
2589794627,145798854,"Smartfren/A16C3H/A16C3H:5.1.1/LMY47V/YNC1TBS1ZM:user/release-keys","2017-02-01 00:00:02","115.178.198.xxx",37516,5367,59,"Jakarta","Indonesia","ID",-6.1745,106.8227,"Trans Hybrid Communication","Indonesia","ID","Special Capital Region of Jakarta","JK","Jakarta",-6.17440,106.82940,0.460709,"PT. CORE MEDIATECH",1,"510 09","510","9",15,15,"Smartfren","A16C3H","qcom","LMY47V","Haier","Andromax A16C3H","A16C3H","","43610124",2,"Central Jakarta, Central Jakarta City, Special Capital Region of Jakarta, Indonesia","Central Jakarta","locality","Indonesia","ID","Special Capital Region of Jakarta","Central Jakarta City","","10110"
2589794634,90300892,"lge/g3_global_com/g3:5.0/LRX21R.A1445947622/1445947622:user/release-keys","2017-02-01 00:00:02","41.13.22.xxx",43237,14268,21,"Johannesburg","South Africa","ZA",-26.2044,28.0456,"Vodacom","South Africa","ZA","Gauteng","GT","Randburg",-26.14572,28.03287,4.13605,"Vodacom",1,"VodaCom","655","1",15,15,"lge","g3","g3","LRX21R.A1445947622","LGE","LG-D855","g3_global_com","","37647636",1,"Randburg, South Africa","Randburg","locality","South Africa","ZA","Gauteng","City of Johannesburg Metropolitan Municipality","City of Johannesburg Metropolitan Municipality","2193"
2589794637,125009629,"Xiaomi/ferrari/ferrari:5.0.2/LRX22G/V6.5.5.0.LXIMICD:user/release-keys","2017-02-01 00:00:02","106.215.190.xxx",7005,8994,57,"Jaipur","India","IN",26.9260,75.8235,"Jio","India","IN","Rajasthan","RJ","Jaipur",26.88137,75.75492,5.23692,"BHARTI Airtel",1,"AIRTEL","404","70",15,15,"Xiaomi","ferrari","qcom","LRX22G","Xiaomi","Mi 4i","ferrari","","232417793",1,"Padmavati B Colony, Padmavti Colony, Nirman Nagar, Brijlalpura, Jaipur, Rajasthan 302019, India","Padmavati B Colony","neighborhood","India","IN","Rajasthan","Jaipur","Brijlalpura",""
2589794640,127466553,"OnePlus/OnePlus2/OnePlus2:6.0.1/MMB29M/1447841100:user/release-keys","2017-02-01 00:00:02","1.187.20.xxx",4454,498,68,"Pune","India","IN",18.5203,73.8567,"ICC Netspeed","India","IN","Maharashtra","MH","Pune",18.53062,73.84561,1.01864,"Idea Cellular",1,"IDEA","404","22",17,17,"OnePlus","OnePlus2","qcom","MMB29M","OnePlus","ONE A2003","oneplus2","","7511863",1,"Pune, Maharashtra 411001, India","Pune","locality","India","IN","Maharashtra","Pune","","411005"
2589794642,139450828,"OPPO/A1601/A1601:5.1/LMY47I/1479785624:user/release-keys","2017-02-01 00:00:02","103.242.97.xxx",2316,157,106,"Yangon","Myanmar","MM",16.8000,96.1500,"Myanma Posts and Telecommunications","Republic of the Union of Myanmar","MM","Yangon Region","06","Yangon",16.78330,96.16670,1.59915,"Ooredoo Myanmar",1,"OOREDOO","","",17,17,"OPPO","A1601","mt6755","LMY47I","OPPO","A1601","A1601","","39756259",2,"Yangon, Myanmar (Burma)","Yangon","locality","Republic of the Union of Myanmar","MM","Yangon Region","","",""
2589794643,45628,"htc/htc_europe/m7cdug:4.4.2/KOT49H/342802.6:user/release-keys","2017-02-01 00:00:02","113.185.26.xxx",1468,1787,31,"Phnom Penh","Cambodia","KH",11.5500,104.9167,"EZECOM","Vietnam","VN","Binh Thuan","40","Phu Quoc",10.23134,103.98435,111.041,"VDC",1,"VINAPHONE","452","2",17,17,"htc","htc_a52dwgl","qcom","MMB29M","HTC","HTC Desire 826 dual sim","a52dwgl_htc_asia_india","","1892159",1,"Phu Quoc, Vietnam","Phu Quoc","locality","Vietnam","VN","Phú Quốc","","",""
2589794649,151329610,"Xiaomi/libra/libra:5.1.1/LMY47V/6.11.17:user/release-keys","2017-02-01 00:00:02","27.67.47.xxx",3377,1072,28,"Hanoi","Vietnam","VN",21.0285,105.8542,"Viettel IDC","Vietnam","VN","Hoa Binh","14","Hoai An",20.34368,105.39394,55.9548,"Viettel Corporation",0,"VIETTEL","452","4",17,17,"Xiaomi","libra","qcom","LMY47V","Xiaomi","Mi-4c","libra","","105073982",1,"Lương Nội, Vietnam","Lương Nội","administrative_area_level_3","Vietnam","VN","Lương Nội","","",""
2589794652,151008908,"samsung/kanas3gxx/kanas:4.4.2/KOT49H/G355HXXS0API2:user/release-keys","2017-02-01 00:00:02","139.59.253.xxx",1044,642,143,"Singapore","Republic of Singapore","SG",1.3000,103.8000,"Viewqwest Pte Ltd","Singapore","SG","Central Singapore Community Development Council","01","Singapore",1.28550,103.85650,4.03352,"Digital Ocean",0,"TELKOMSEL","","",0,0,"samsung","kanas","sc8830","KOT49H","samsung","SM-G355H","kanas3gxx","","56811",2,"Singapore, Singapore","Singapore","locality","Singapore","SG","","","",""
2589794653,146282197,"samsung/hero2ltexx/hero2lte:6.0.1/MMB29K/G935FXXU1BPLE:user/release-keys","2017-02-01 00:00:03","223.136.152.xxx",55039,9591,21,"Taipei","Taiwan","TW",25.0333,121.5333,"Taipeinet","Taiwan","TW","UNKNOWN","??","Taipei",25.06872,121.51916,2.60317,"Chunghwa Telecom Co.",1,"Chunghwa Telecom","466","92",15,15,"samsung","hero2lte","samsungexynos8890","MMB29K","samsung","SM-G935F","hero2ltexx","","54410766",1,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","103"
